time,strength,intensity,lane,centroidHz,duration,noteType
34.3467,0.7729,4,2,3682.3,0.0,0
34.7413,0.8014,4,2,3685.7,0.0,0
34.7413,0.8014,4,0,3685.7,0.0,0
34.824,0.6274,3,1,3009.9,0.0,2
34.944,0.6682,3,1,2971.2,0.0,0
35.1467,0.7751,4,2,3746.6,0.0,0
35.5413,0.8118,4,2,3696.6,0.0,0
35.744,0.6691,3,1,3012.0,0.0,0
35.9467,0.7809,4,2,3766.1,0.0,0
36.2453,0.8099,4,1,3217.1,0.9787,1
36.544,0.7176,3,2,3711.7,0.0,0
36.7467,0.7756,4,2,3823.0,0.0,0
36.9493,0.7508,4,2,3382.8,0.0,0
37.1413,0.8387,4,2,3702.9,0.0,0
37.224,0.8099,4,1,3217.1,0.0,2
37.344,0.6753,3,1,2986.5,0.0,0
37.5467,0.7825,4,2,3693.8,0.0,0
37.5467,0.7825,4,0,3693.8,0.0,0
37.9413,0.8412,4,2,3671.1,0.0,0
38.144,0.679,3,1,2952.9,1.0,1
38.3467,0.7851,4,2,3774.8,0.0,0
38.3467,0.7851,4,3,3774.8,0.0,0
38.7413,0.8437,4,2,3718.7,0.0,0
38.944,0.7438,3,2,3435.4,0.0,0
39.144,0.679,3,1,2952.9,0.0,2
39.1467,0.8422,4,2,3779.8,0.0,0
39.5413,0.8565,4,2,3996.9,0.0,0
39.9467,0.8109,4,2,4043.0,0.0,0
40.1493,0.9104,4,3,4886.6,0.0,0
40.3413,0.7983,4,2,3615.2,0.0,0
40.3413,0.7983,4,3,3615.2,0.0,0
40.544,0.8745,4,3,4838.2,0.0,0
40.7467,0.8172,4,2,4006.6,0.0,0
40.9493,0.8649,4,3,5024.6,0.0,0
41.1413,0.8521,4,2,3937.4,0.0,0
41.344,0.9094,4,3,4867.7,0.0,0
41.5467,0.818,4,2,4078.8,0.0,0
41.7493,0.9375,4,3,4927.7,0.0,0
41.9413,0.8566,4,2,3929.8,0.0,0
42.144,0.9316,4,3,4927.5,0.0,0
42.3467,0.81,4,2,3977.5,0.0,0
42.5493,0.8706,4,3,5048.4,0.0,0
42.7413,0.8359,4,2,4081.5,0.0,0
42.944,0.915,4,3,4996.8,0.0,0
43.1467,0.8226,4,2,4109.8,0.0,0
43.3493,0.951,4,3,4996.5,0.0,0
43.5413,0.8637,4,2,4021.9,0.0,0
43.744,0.9082,4,3,4875.7,0.0,0
43.9467,0.8104,4,2,4049.4,0.0,0
44.1493,0.8772,4,3,5013.7,0.0,0
44.3413,0.8695,4,2,4013.4,0.0,0
44.544,0.9064,4,3,4959.4,0.0,0
44.7467,0.8019,4,2,4013.3,0.0,0
44.9493,0.9195,4,3,4756.7,0.0,0
45.1413,0.6919,3,2,3755.1,0.0,0
45.344,0.8117,4,3,4805.5,0.68,1
45.8453,0.6841,3,2,4090.8,0.0,0
46.024,0.8117,4,3,4805.5,0.0,2
46.144,0.6817,3,3,5534.1,0.0,0
46.3467,0.7064,3,2,4022.9,0.68,1
46.5493,0.863,4,3,5311.0,0.0,0
46.7413,0.6427,3,3,4542.9,0.0,0
46.944,0.8974,4,3,4421.1,0.0,0
47.0267,0.7064,3,2,4022.9,0.0,2
47.1467,0.7975,4,2,4039.1,0.0,0
47.4453,0.9095,4,2,3718.3,0.0,0
47.4453,0.9095,4,1,3718.3,0.0,0
47.744,0.9684,4,3,4509.7,0.0,0
47.9467,0.8206,4,2,4063.7,0.0,0
48.1493,0.9395,4,3,5078.7,0.0,0
48.3413,0.852,4,2,4104.4,0.0,0
48.3413,0.852,4,3,4104.4,0.0,0
48.544,0.9453,4,3,4493.9,0.0,0
48.7467,0.8064,4,2,4022.7,0.0,0
48.9493,0.8852,4,3,4730.9,0.0,0
49.1413,0.7451,3,2,4346.5,0.0,0
49.344,0.9666,4,3,4851.6,0.0,0
49.5467,0.794,4,2,4153.4,0.0,0
49.7493,0.9613,4,3,4972.3,0.0,0
49.7493,0.9613,4,1,4972.3,0.0,0
49.9413,0.8383,4,2,4046.9,0.0,0
50.144,0.9275,4,3,4495.3,0.0,0
50.144,0.9275,4,1,4495.3,0.0,0
50.3467,0.8083,4,2,4044.7,0.0,0
50.6453,0.9164,4,2,3777.8,0.0,0
50.944,0.9712,4,3,4475.0,0.0,0
51.1467,0.8183,4,2,4137.9,0.0,0
51.3493,0.964,4,3,4901.6,0.0,0
51.5413,0.8404,4,2,4123.7,0.0,0
51.744,0.9641,4,3,4474.6,0.0,0
51.9467,0.8613,4,2,4092.8,0.0,0
52.1493,0.9238,4,3,4807.6,0.0,0
52.3413,0.8699,4,2,4319.2,0.0,0
52.544,0.8621,4,3,5201.3,0.0,0
52.7467,0.8027,4,2,4056.7,0.0,0
52.9493,0.8964,4,3,5036.0,0.0,0
53.1413,0.7133,3,2,3879.3,0.0,0
53.344,0.8955,4,3,4474.4,0.0,0
53.5467,0.8051,4,2,4013.5,0.0,0
53.8453,0.9126,4,2,3713.4,0.0,0
54.144,0.963,4,3,4537.4,0.0,0
54.3467,0.8153,4,2,4076.7,0.0,0
54.5493,0.9681,4,3,4882.7,0.0,0
54.7413,0.8403,4,2,4116.7,0.0,0
54.944,0.8955,4,2,4274.5,0.0,0
55.1467,0.8045,4,2,3954.3,0.0,0
55.3493,0.866,4,3,4896.0,0.0,0
55.5413,0.7154,3,2,4128.6,0.0,0
55.744,0.9445,4,3,4774.6,0.0,0
55.9467,0.8079,4,2,4125.9,0.0,0
56.1493,0.9582,4,3,4931.1,0.0,0
56.3413,0.829,4,2,4031.2,0.0,0
56.544,0.9256,4,3,4486.7,0.0,0
56.7467,0.8194,4,2,4039.2,0.0,0
57.0453,0.8806,4,2,3802.5,0.0,0
57.0453,0.8806,4,0,3802.5,1.0,1
57.344,0.9529,4,3,4460.1,0.0,0
57.5467,0.7987,4,2,4197.2,0.0,0
57.7493,0.9985,4,3,5285.9,0.0,0
57.9413,0.7792,4,2,4181.0,0.0,0
58.0453,0.8806,4,0,3802.5,0.0,2
58.144,1.0,4,3,4773.4,0.0,0
58.3467,0.7186,3,2,4097.6,0.0,0
58.5493,0.8949,4,3,4849.0,0.0,0
58.7413,0.6841,3,2,4204.3,0.0,0
58.944,0.7513,4,3,5244.9,0.0,0
59.3493,0.32,2,1,2348.9,0.0,0
59.744,0.1831,1,0,2031.0,0.0,0
60.1493,0.1443,1,0,1840.1,0.0,0
62.3467,0.1742,1,0,1130.5,0.0,0
62.752,0.141,1,0,1105.0,0.0,0
62.9547,0.274,2,0,1452.4,0.0,0
63.3493,0.1522,1,0,1324.5,0.0,0
63.552,0.2906,2,0,1380.3,0.0,0
64.9493,0.331,2,0,1555.8,0.0,0
65.152,0.3616,2,0,1640.0,0.0,0
65.3547,0.3828,2,0,1579.7,0.0,0
65.5573,0.1881,1,0,1397.1,0.0,0
65.952,0.1825,1,0,1511.8,0.0,0
66.1547,0.3363,2,0,1774.5,0.0,0
66.5493,0.2068,1,0,1635.1,0.0,0
66.752,0.3088,2,0,1645.2,1.0,1
67.752,0.3088,2,0,1645.2,0.0,2
68.1493,0.3801,2,0,1688.2,0.0,0
68.352,0.3572,2,0,1786.8,0.0,0
68.5547,0.3189,2,0,1677.5,0.0,0
68.7573,0.2526,2,0,1605.7,0.0,0
69.152,0.247,1,0,1766.6,0.0,0
69.3547,0.3895,2,0,1762.8,0.0,0
69.7493,0.2269,1,0,1831.1,0.0,0
69.952,0.4015,2,0,1696.4,0.0,0
71.3493,0.3982,2,0,1686.0,0.0,0
71.552,0.4321,2,0,1904.9,0.0,0
71.7547,0.3781,2,0,1782.2,0.0,0
71.9467,0.2777,2,0,1630.2,0.0,0
72.352,0.2703,2,0,1946.0,0.0,0
72.5547,0.4252,2,0,2190.5,0.0,0
72.9493,0.2628,2,0,2029.1,0.0,0
73.152,0.4053,2,0,1776.3,0.0,0
75.1467,0.4487,2,2,3965.6,0.0,0
75.552,0.4856,2,2,3703.7,0.0,0
75.744,0.194,1,0,2166.3,0.6907,1
75.9573,0.371,2,1,2552.9,0.0,0
76.3627,0.1873,1,1,2349.4,0.0,0
76.4347,0.194,1,0,2166.3,0.0,2
76.5547,0.152,1,0,1853.7,0.0,0
76.96,0.1916,1,0,1674.1,0.0,0
77.152,0.3112,2,1,2796.3,0.0,0
77.3547,0.2225,1,1,2653.6,0.0,0
77.5573,0.3393,2,1,2524.1,0.0,0
77.9627,0.1621,1,3,5897.8,0.0,0
78.3467,0.4844,2,3,4464.2,0.0,0
80.0427,0.1412,1,2,4152.5,0.0,0
80.448,0.1409,1,2,3932.8,0.9787,1
81.1413,0.1671,1,3,4778.4,0.0,0
81.4267,0.1409,1,2,3932.8,0.0,2
81.5467,0.566,3,2,4012.8,0.0,0
81.952,0.4873,2,2,3672.5,0.0,0
82.144,0.1933,1,0,2240.7,0.0,0
82.3573,0.3651,2,1,2614.1,0.0,0
82.7627,0.182,1,1,2419.4,0.0,0
82.9547,0.15,1,0,1913.5,0.0,0
83.36,0.1928,1,0,1738.5,0.0,0
83.552,0.3062,2,1,2802.3,0.0,0
83.7547,0.2259,1,1,2649.3,0.0,0
83.9573,0.3486,2,1,2505.2,1.0,1
84.3627,0.1661,1,3,5729.7,0.0,0
84.7467,0.468,2,3,4487.6,0.0,0
84.9573,0.3486,2,1,2505.2,0.0,2
86.2507,0.1175,1,2,4168.1,0.0,0
87.9467,0.5945,3,3,4542.9,0.0,0
88.1493,0.4246,2,1,3006.3,0.0,0
88.448,0.1629,1,1,3084.8,0.0,0
88.7467,0.2981,2,1,2747.6,0.0,0
88.9493,0.4426,2,1,3229.1,0.4774,1
89.344,0.2021,1,2,3382.0,0.0,0
89.4267,0.4426,2,1,3229.1,0.0,2
89.5467,0.3288,2,1,3003.9,0.0,0
89.7493,0.4654,2,1,3123.2,0.8827,1
90.048,0.199,1,2,3487.5,0.0,0
90.3467,0.3358,2,2,3423.2,0.0,0
90.5493,0.569,3,2,3794.1,0.0,0
90.632,0.4654,2,1,3123.2,0.0,2
90.752,0.4237,2,1,2944.5,0.0,0
90.944,0.2896,2,2,3808.7,0.0,0
91.1467,0.5209,3,2,4041.5,0.0,0
91.3493,0.4012,2,2,3571.6,0.0,0
91.648,0.2112,1,2,3977.8,0.0,0
91.9467,0.3203,2,2,3783.3,0.0,0
92.1493,0.4185,2,2,3731.5,0.0,0
92.544,0.2381,1,2,4282.9,0.0,0
92.7467,0.3693,2,2,3981.9,0.0,0
92.9493,0.4499,2,2,3784.1,0.0,0
93.248,0.2664,2,2,4241.6,0.0,0
93.5467,0.3134,2,2,4196.4,0.0,0
93.7493,0.4199,2,2,3979.7,0.0,0
94.048,0.2711,2,2,4354.1,0.0,0
94.3467,0.5191,3,3,4531.5,0.0,0
94.6453,0.2898,2,3,4610.3,0.0,0
94.848,0.2776,2,3,4761.3,0.0,0
95.2427,0.277,2,3,4865.6,0.0,0
95.4453,0.2279,1,3,5002.8,0.0,0
95.6373,0.3078,2,3,4598.3,0.0,0
95.84,0.3067,2,3,4842.9,0.0,0
96.0427,0.3046,2,3,4509.7,0.0,0
96.2453,0.2955,2,3,4963.0,0.0,0
96.544,0.3602,2,3,5054.7,0.0,0
96.8427,0.3151,2,3,5283.1,0.0,0
97.0453,0.307,2,3,5131.7,0.0,0
97.248,0.3751,2,3,5090.7,0.0,0
97.5467,0.3259,2,3,5571.3,0.0,0
97.696,0.2876,2,3,5575.5,0.0,0
97.9947,0.2755,2,3,5478.2,0.0,0
98.144,0.2734,2,3,5243.3,0.0,0
98.496,0.2814,2,3,5576.9,0.0,0
98.7947,0.3038,2,3,5594.2,0.0,0
99.0933,0.2957,2,3,5723.0,0.0,0
99.2427,0.3025,2,3,5045.8,0.0,0
99.4453,0.3055,2,3,5168.9,0.0,0
100.6933,0.3372,2,3,5527.7,0.0,0
103.9467,0.2668,2,1,2607.2,0.0,0
104.0853,0.3146,2,2,3706.1,0.0,0
104.2133,0.2936,2,2,3461.3,0.0,0
104.352,0.3238,2,1,2675.9,0.0,0
104.6187,0.2431,1,1,2848.9,0.0,0
104.8853,0.1995,1,1,2786.2,0.0,0
105.0133,0.2363,1,2,3929.7,1.0,1
105.152,0.2994,2,1,2552.0,0.0,0
105.4187,0.1516,1,1,3127.0,0.0,0
105.5467,0.4513,2,3,4854.0,0.0,0
105.6747,0.4295,2,3,5008.1,0.0,0
105.8133,0.4587,2,3,4792.9,0.0,0
105.9413,0.4056,2,3,4936.6,0.0,0
106.0133,0.2363,1,2,3929.7,0.0,2
106.08,0.2853,2,3,4643.1,0.0,0
106.208,0.3176,2,3,5601.0,0.0,0
106.3467,0.278,2,3,6917.6,0.0,0
106.4747,0.296,2,3,8330.3,0.0,0
106.6133,0.4086,2,3,5130.2,0.0,0
106.7413,0.5537,3,3,4532.2,0.0,0
106.88,0.6473,3,2,4308.0,0.0,0
107.008,0.4741,2,3,4637.7,0.0,0
107.1467,0.8808,4,3,4499.0,0.0,0
107.2853,0.4086,2,3,4423.4,0.0,0
107.4133,0.6331,3,3,4393.2,0.0,0
107.5413,0.5849,3,3,4702.4,0.0,0
107.68,0.3443,2,1,2536.5,0.0,0
107.808,0.5427,3,1,3188.9,0.0,0
107.9467,0.7777,4,2,3894.2,0.0,0
108.0747,0.3332,2,1,2738.7,0.0,0
108.2133,0.7211,3,1,3162.8,0.0,0
108.3413,0.8043,4,2,4021.6,0.0,0
108.48,0.324,2,1,2492.7,0.0,0
108.608,0.6092,3,1,3275.2,0.0,0
108.7467,0.7833,4,2,3943.0,0.0,0
108.8747,0.4591,2,1,2759.0,0.0,0
109.0133,0.727,3,1,3090.4,0.0,0
109.1413,0.8361,4,2,3978.8,0.0,0
109.28,0.3555,2,1,2461.6,0.0,0
109.408,0.6209,3,1,3136.8,0.0,0
109.5467,0.8054,4,2,3973.7,0.0,0
109.6747,0.3602,2,1,2750.7,0.0,0
109.8133,0.7105,3,1,3131.0,0.0,0
109.9413,0.8105,4,2,4237.8,0.0,0
110.08,0.4948,2,2,4054.6,0.0,0
110.208,0.6579,3,2,3498.9,0.0,0
110.3467,0.7956,4,2,3946.7,0.0,0
110.3467,0.7956,4,3,3946.7,1.0,1
110.4747,0.4916,2,1,2772.2,0.0,0
110.6133,0.7271,3,1,3079.7,0.0,0
110.7413,0.8659,4,2,4010.7,0.0,0
110.88,0.3593,2,1,2436.6,0.0,0
111.008,0.6621,3,1,3155.1,0.0,0
111.1467,0.8021,4,2,3922.2,0.0,0
111.2747,0.413,2,1,2706.0,0.0,0
111.3467,0.7956,4,3,3946.7,0.0,2
111.4133,0.7399,3,1,3183.1,0.0,0
111.5413,0.8595,4,2,4024.2,0.0,0
111.5413,0.8595,4,3,4024.2,0.0,0
111.68,0.338,2,1,2523.1,0.0,0
111.808,0.6643,3,1,3213.8,0.0,0
111.9467,0.8067,4,2,3948.8,0.0,0
111.9467,0.8067,4,3,3948.8,0.0,0
112.0747,0.5004,3,1,2753.2,0.0,0
112.2133,0.7424,3,1,3096.1,0.0,0
112.3413,0.8779,4,2,4018.0,0.0,0
112.48,0.3655,2,1,2419.2,0.0,0
112.608,0.7033,3,2,3563.5,0.0,0
112.7467,0.8551,4,2,3937.2,0.0,0
112.8747,0.3551,2,1,2685.5,0.0,0
113.0133,0.7875,4,2,3407.9,0.0,0
113.1413,0.8652,4,2,4309.3,0.0,0
113.1413,0.8652,4,1,4309.3,0.0,0
113.28,0.3839,2,1,3140.0,1.0,1
113.5467,0.8207,4,2,4062.2,0.0,0
113.5467,0.8207,4,3,4062.2,0.0,0
113.6747,0.4539,2,2,3406.5,0.0,0
113.8133,0.7374,3,2,3570.4,0.0,0
113.9413,0.7775,4,2,3860.8,0.0,0
114.08,0.4363,2,2,3494.0,0.0,0
114.208,0.6825,3,2,3668.8,0.0,0
114.28,0.3839,2,1,3140.0,0.0,2
114.3467,0.8369,4,2,4248.7,0.0,0
114.4747,0.4671,2,2,3622.1,0.0,0
114.6133,0.7844,4,2,3679.4,0.0,0
114.7413,0.879,4,2,4218.3,0.0,0
114.88,0.3954,2,2,3487.1,0.0,0
115.008,0.7075,3,2,3774.3,0.0,0
115.1467,0.8331,4,2,4276.6,0.0,0
115.2747,0.5528,3,2,3508.4,0.0,0
115.4133,0.7853,4,2,3604.5,0.0,0
115.5413,0.8935,4,2,4259.8,0.0,0
115.68,0.4333,2,2,3452.9,0.0,0
115.808,0.7022,3,2,3640.3,0.0,0
115.9467,0.8429,4,2,4257.8,0.0,0
116.0747,0.47,2,2,3615.4,0.0,0
116.2133,0.7845,4,2,3659.1,0.0,0
116.3413,0.8679,4,2,4327.6,0.0,0
116.48,0.4894,2,2,3857.7,0.0,0
116.608,0.688,3,2,3719.5,0.0,0
116.7467,0.829,4,2,4287.4,0.0,0
116.8747,0.538,3,2,3527.4,0.0,0
117.0133,0.7805,4,2,3578.1,0.0,0
117.1413,0.8776,4,2,4246.5,0.0,0
117.28,0.4306,2,2,3477.7,0.0,0
117.408,0.6558,3,2,3672.3,0.0,0
117.5467,0.8307,4,2,4240.8,0.0,0
117.6747,0.4201,2,2,3615.6,0.0,0
117.8133,0.7715,4,2,3691.0,0.0,0
117.9413,0.8001,4,2,4252.5,0.0,0
118.08,0.3764,2,2,3548.6,0.0,0
118.208,0.5945,3,2,3863.9,0.0,0
118.3467,0.3325,2,1,3015.6,0.0,0
118.4853,0.3798,2,2,3826.3,0.0,0
118.6133,0.299,2,2,3976.9,0.0,0
118.752,0.3686,2,2,3771.6,0.0,0
119.0187,0.2953,2,3,4790.4,0.0,0
119.2853,0.3521,2,3,6984.2,0.5414,1
119.552,0.5286,3,2,3918.4,0.0,0
119.68,0.5864,3,2,4013.4,0.0,0
119.8187,0.5628,3,2,3998.8,0.0,0
119.8267,0.3521,2,3,6984.2,0.0,2
119.9467,0.7151,3,3,4856.0,0.0,0
120.0853,0.4488,2,3,4411.0,0.0,0
120.2133,0.7863,4,3,4456.5,0.0,0
120.3413,0.6129,3,3,4790.8,0.0,0
120.48,0.5688,3,2,3863.1,0.0,0
120.608,0.6159,3,2,3754.7,0.0,0
120.7467,0.8021,4,2,4235.6,0.0,0
120.8747,0.6263,3,2,3756.5,0.0,0
121.0133,0.9184,4,2,3862.2,0.0,0
121.1413,0.8218,4,2,4295.9,0.0,0
121.28,0.3605,2,2,3656.2,0.0,0
121.408,0.7939,4,2,3996.6,0.0,0
121.5467,0.8096,4,2,4271.4,0.0,0
121.6747,0.5303,3,2,3527.1,0.0,0
121.8133,0.961,4,2,4077.9,0.0,0
121.9413,0.8581,4,2,4303.6,0.0,0
122.08,0.5955,3,2,3844.5,0.0,0
122.208,0.6623,3,2,3705.8,0.0,0
122.3467,0.8327,4,2,4230.6,0.0,0
122.4747,0.6734,3,2,3577.3,0.0,0
122.6133,0.9063,4,2,3948.7,0.0,0
122.7413,0.8263,4,3,4468.0,0.0,0
122.7413,0.8263,4,1,4468.0,1.0,1
122.88,0.4862,2,3,4641.3,0.4133,1
123.008,0.8077,4,2,4170.7,0.0,0
123.1467,0.8207,4,2,4277.0,0.0,0
123.2747,0.6262,3,2,3473.4,0.0,0
123.2933,0.4862,2,3,4641.3,0.0,2
123.4133,0.9521,4,2,4057.2,0.0,0
123.4133,0.9521,4,3,4057.2,0.0,0
123.5413,0.8636,4,2,4325.4,0.0,0
123.68,0.5915,3,2,3841.4,0.0,0
123.7413,0.8263,4,1,4468.0,0.0,2
123.808,0.6702,3,2,3690.2,0.0,0
123.9467,0.8144,4,2,4242.4,0.0,0
123.9467,0.8144,4,0,4242.4,1.0,1
124.0747,0.6881,3,2,3785.0,0.0,0
124.2133,0.9358,4,2,3975.8,0.0,0
124.3413,0.8648,4,2,4295.8,0.0,0
124.48,0.3788,2,2,3560.6,0.0,0
124.608,0.8263,4,2,3942.5,0.0,0
124.7467,0.8263,4,2,4272.5,0.0,0
124.8747,0.6506,3,2,3730.4,0.0,0
124.9467,0.8144,4,0,4242.4,0.0,2
125.0133,0.9754,4,2,3971.1,0.0,0
125.1413,0.861,4,2,4316.6,0.0,0
125.1413,0.861,4,1,4316.6,0.0,0
125.28,0.6085,3,2,3820.0,0.0,0
125.408,0.7149,3,2,3953.4,0.0,0
125.5467,0.8565,4,2,4240.2,0.0,0
125.6747,0.6672,3,2,3822.8,0.0,0
125.8133,0.9543,4,2,4173.4,0.0,0
125.9413,0.8719,4,3,4555.2,0.0,0
126.08,0.5068,3,2,4272.6,0.0,0
126.208,0.7002,3,2,3470.0,0.0,0
126.3467,0.8117,4,2,4073.5,0.0,0
126.4853,0.4513,2,2,3750.6,0.0,0
126.6133,0.8605,4,2,3849.8,0.0,0
126.7413,0.7794,4,2,3944.3,0.0,0
126.88,0.5933,3,2,3836.2,0.0,0
127.008,0.6643,3,2,3740.3,0.0,0
127.1467,0.8207,4,2,4228.7,0.0,0
127.2747,0.7502,4,2,3882.2,0.0,0
127.4133,0.9232,4,2,3905.4,0.0,0
127.5413,0.8535,4,2,4309.9,0.0,0
127.68,0.3686,2,2,3678.1,0.0,0
127.808,0.8243,4,2,3946.9,0.0,0
127.9467,0.8225,4,2,4272.3,0.0,0
128.0747,0.5986,3,2,3546.0,0.0,0
128.2133,0.9868,4,2,4185.7,0.0,0
128.3413,0.8628,4,2,4265.6,0.0,0
128.48,0.5784,3,2,3822.2,0.0,0
128.608,0.6643,3,2,3744.0,0.0,0
128.7467,0.8225,4,2,4231.0,0.0,0
128.8747,0.6664,3,2,3758.5,0.0,0
129.0133,0.9305,4,2,3945.1,0.0,0
129.1413,0.8318,4,2,4356.4,0.0,0
129.28,0.4353,2,2,4007.6,0.0,0
129.408,0.8301,4,2,3917.8,0.0,0
129.5467,0.825,4,2,4171.2,0.0,0
129.6747,0.5967,3,2,3603.3,0.0,0
129.8133,0.9789,4,2,3935.5,0.0,0
129.9413,0.8306,4,2,4283.0,0.0,0
130.08,0.5791,3,2,3838.7,0.0,0
130.208,0.6617,3,2,3730.7,0.0,0
130.3467,0.8051,4,2,4225.9,0.0,0
130.4747,0.6519,3,2,3846.2,0.0,0
130.6133,0.9399,4,2,3973.0,0.0,0
