time,strength,intensity,lane,centroidHz
10.752,0.1272,1,1,2489.3
10.848,0.0866,1,0,1674.1
10.9547,0.1376,1,1,2828.5
11.0507,0.1354,1,1,2772.7
11.1467,0.5385,3,2,3782.1
11.3493,0.4649,2,2,3392.6
11.4453,0.2654,2,1,2667.8
11.552,0.3739,2,1,2445.2
11.6587,0.1516,1,1,2265.1
11.744,0.1955,1,1,2678.8
11.84,0.1868,1,0,1809.2
11.9467,0.1011,1,0,1830.0
12.0533,0.1816,1,0,1868.1
12.1493,0.383,2,1,2868.5
12.2453,0.2435,1,1,2589.6
12.352,0.3677,2,1,2440.0
12.448,0.1875,1,1,2307.2
12.5547,0.2117,1,1,2801.2
12.7467,0.1076,1,0,1610.6
12.9493,0.1019,1,0,1964.3
13.056,0.0768,1,0,1752.5
13.152,0.1064,1,0,1781.2
13.4507,0.0754,1,0,1589.8
13.8453,0.0849,1,0,2072.1
14.3467,0.5813,3,2,4235.9
14.5493,0.4898,2,1,3306.3
14.6453,0.3264,2,1,2900.1
14.752,0.4082,2,1,2612.6
14.848,0.23,1,1,2584.7
14.944,0.2832,2,1,3096.4
15.04,0.2349,1,1,2757.1
15.1467,0.1716,1,1,3069.3
15.2427,0.1864,1,1,3122.1
15.3493,0.4045,2,1,3279.1
15.4453,0.3218,2,1,3098.6
15.552,0.4085,2,1,2713.4
15.648,0.2719,2,1,2783.4
15.744,0.2448,1,1,3289.9
15.8507,0.1451,1,1,3181.9
15.9467,0.2241,1,2,3345.9
16.0427,0.1916,1,1,3282.5
16.1493,0.2552,2,1,3105.6
16.2453,0.1994,1,2,3445.9
16.352,0.2115,1,1,3115.7
16.448,0.2194,1,2,3325.5
16.544,0.1984,1,2,3593.6
16.6507,0.2233,1,1,3045.5
16.7467,0.2124,1,2,3554.4
16.8427,0.1911,1,2,3669.8
16.9493,0.1962,1,2,3329.5
17.0453,0.208,1,2,3631.3
17.152,0.2125,1,1,3204.1
17.248,0.2119,1,2,3557.1
17.344,0.2142,1,2,3814.7
17.4507,0.2198,1,2,3436.4
17.5467,0.5258,3,2,4109.2
17.6427,0.1819,1,2,3420.9
17.7493,0.49,2,2,3758.6
17.8453,0.3633,2,2,3491.3
17.952,0.3902,2,1,3105.6
18.048,0.258,2,2,3408.5
18.144,0.3143,2,2,3863.7
18.24,0.2726,2,2,3703.2
18.3467,0.2371,1,2,3984.8
18.4427,0.2293,1,2,4260.1
18.5493,0.4037,2,2,3817.8
18.6453,0.361,2,2,3876.8
18.752,0.3981,2,1,3307.0
18.848,0.31,2,2,3553.9
18.944,0.2655,2,2,4335.6
19.04,0.1991,1,3,4410.3
19.1467,0.3007,2,2,4244.8
19.2427,0.2487,1,2,4300.6
19.3493,0.2863,2,2,4247.1
19.4453,0.2667,2,3,4432.7
19.552,0.2213,1,2,4105.3
19.648,0.2775,2,2,4278.2
19.744,0.2464,1,3,4614.7
19.8507,0.2374,1,2,4089.2
19.9467,0.2357,1,3,4442.1
20.0427,0.2332,1,3,4604.8
20.1493,0.2547,2,3,4428.9
20.2453,0.2693,2,3,4718.1
20.3413,0.2475,1,3,4860.2
20.448,0.2688,2,3,4430.5
20.544,0.2541,2,3,4731.2
20.64,0.2116,1,3,5001.1
20.7467,0.4778,2,3,4660.2
20.8427,0.2435,1,2,4257.9
20.9493,0.5038,3,2,4197.0
21.0453,0.3889,2,3,4392.5
21.152,0.3981,2,2,3923.7
21.248,0.2987,2,2,4268.1
21.344,0.3472,2,3,4713.7
21.44,0.293,2,3,4601.7
21.5467,0.3411,2,3,4657.1
21.6427,0.2744,2,3,4652.9
21.7493,0.4986,2,2,4370.2
21.8453,0.4162,2,3,4432.0
21.952,0.4083,2,2,4037.4
22.048,0.3281,2,2,4255.7
22.144,0.3767,2,3,4562.3
22.2507,0.3323,2,2,4248.2
22.3467,0.3392,2,3,4703.2
22.4427,0.2858,2,3,4608.4
22.5493,0.4778,2,2,4356.8
22.6453,0.3984,2,3,4460.4
22.752,0.3894,2,2,4164.2
22.848,0.3328,2,3,4470.2
22.944,0.3845,2,3,4585.1
23.0507,0.3199,2,2,4374.2
23.1467,0.3684,2,3,4643.3
23.2427,0.3179,2,3,4557.5
23.3493,0.4521,2,3,4434.9
23.4453,0.3854,2,3,4649.4
23.552,0.3892,2,2,4372.1
23.648,0.3414,2,3,4510.0
23.744,0.3505,2,3,4737.8
23.84,0.3218,2,3,4627.1
23.9467,0.3884,2,3,4944.7
24.0427,0.3394,2,3,4616.3
24.096,0.2757,2,3,4727.8
24.1493,0.3076,2,3,4729.3
24.2453,0.3063,2,3,4552.9
24.2987,0.3088,2,3,4715.7
24.3947,0.3009,2,3,4823.7
24.448,0.352,2,3,4580.7
24.544,0.2974,2,3,4902.0
24.5973,0.2862,2,3,4838.1
24.6933,0.3133,2,3,4769.7
24.7467,0.2727,2,3,4994.7
24.8427,0.3215,2,3,4739.6
24.9387,0.2962,2,3,4960.8
24.992,0.2892,2,3,4933.1
25.0453,0.3055,2,3,4805.5
25.1413,0.3223,2,3,4909.2
25.2373,0.2944,2,3,4598.0
25.344,0.2925,2,3,5062.5
25.44,0.2892,2,3,4866.4
25.4933,0.2844,2,3,5267.6
25.6427,0.279,2,3,4885.1
25.696,0.299,2,3,4900.7
25.792,0.2713,2,3,4821.1
25.8453,0.313,2,3,4912.9
25.8987,0.288,2,3,4890.1
25.9947,0.3462,2,3,4858.1
26.048,0.3375,2,3,4904.8
26.144,0.2831,2,3,5194.0
26.1973,0.2929,2,3,4993.4
26.2507,0.2945,2,3,5094.0
26.368,0.2668,2,3,4738.1
26.496,0.2817,2,3,5221.3
26.5493,0.283,2,3,5647.0
26.6453,0.2756,2,3,5928.1
26.6987,0.2621,2,3,5992.8
26.752,0.2555,2,3,6155.7
26.848,0.3055,2,3,5963.6
26.9013,0.2911,2,3,5730.2
26.9973,0.3596,2,3,5356.7
27.0507,0.3276,2,3,5029.1
27.104,0.3246,2,3,5009.9
27.2107,0.1631,1,0,2042.3
27.52,0.117,1,1,2377.7
30.3467,0.2693,2,1,2619.3
30.432,0.0753,1,0,1842.4
30.5493,0.4818,2,2,3817.7
30.6453,0.2567,2,1,2697.9
30.752,0.3161,2,1,2566.5
30.9547,0.154,1,1,2781.1
31.04,0.1428,1,0,2139.0
31.2533,0.1709,1,0,2145.9
31.3493,0.3563,2,1,3170.4
31.4453,0.2373,1,1,2919.0
31.552,0.3051,2,1,2491.8
31.648,0.1391,1,1,2435.0
31.7547,0.181,1,1,3148.6
31.9467,0.4354,2,3,4796.1
32.0427,0.192,1,3,5094.6
32.1493,0.496,2,3,4506.6
32.2453,0.3444,2,3,4738.9
32.352,0.3751,2,2,4138.8
32.448,0.2423,1,3,4626.9
32.544,0.2824,2,3,5763.4
32.64,0.2684,2,3,5845.7
32.7467,0.2439,1,3,7075.3
32.8427,0.2641,2,3,7872.9
32.9493,0.3453,2,3,6160.8
33.0453,0.3641,2,3,5160.7
33.1413,0.4423,2,3,5190.5
33.248,0.5961,3,2,4264.1
33.344,0.5311,3,3,4394.3
33.4507,0.6194,3,2,4013.7
33.5467,0.8491,4,2,4334.5
33.7493,0.6608,3,2,4306.9
33.8453,0.6258,3,2,4223.2
33.9413,0.5847,3,3,4549.1
34.144,0.6274,3,1,3009.9
34.24,0.5556,3,1,2703.7
34.3467,0.7729,4,2,3682.3
34.4533,0.1981,1,0,1938.7
34.5493,0.6315,3,1,3077.7
34.6453,0.7903,4,1,2906.9
34.7413,0.8014,4,2,3685.7
34.848,0.2,1,0,2015.9
34.944,0.6682,3,1,2971.2
35.04,0.5821,3,1,2757.0
35.1467,0.7751,4,2,3746.6
35.3493,0.7343,3,2,3365.5
35.4453,0.7484,3,1,2831.4
35.5413,0.8118,4,2,3696.6
35.744,0.6691,3,1,3012.0
35.84,0.6324,3,1,2656.4
35.9467,0.7809,4,2,3766.1
36.0533,0.2009,1,0,1884.3
36.1493,0.6415,3,1,3081.2
36.2453,0.8099,4,1,3217.1
36.3413,0.7878,4,2,4126.3
36.448,0.2008,1,1,2889.5
36.544,0.7176,3,2,3711.7
36.64,0.644,3,1,3132.5
36.7467,0.7756,4,2,3823.0
36.9493,0.7508,4,2,3382.8
37.0453,0.7476,3,1,2829.6
37.1413,0.8387,4,2,3702.9
37.344,0.6753,3,1,2986.5
37.44,0.6467,3,1,2631.4
37.5467,0.7825,4,2,3693.8
37.6533,0.1927,1,0,1614.7
37.7493,0.6309,3,1,3062.4
37.8453,0.8043,4,1,2875.9
37.9413,0.8412,4,2,3671.1
38.048,0.2037,1,0,1845.7
38.144,0.679,3,1,2952.9
38.24,0.6313,3,1,2734.0
38.3467,0.7851,4,2,3774.8
38.5493,0.7439,3,2,3375.0
38.6453,0.7554,4,1,2821.5
38.7413,0.8437,4,2,3718.7
38.944,0.7438,3,2,3435.4
39.04,0.6143,3,1,2655.2
39.1467,0.8422,4,2,3779.8
39.3493,0.6387,3,1,3059.8
39.4453,0.7992,4,1,2935.1
39.5413,0.8565,4,2,3996.9
39.648,0.126,1,1,2602.6
39.744,0.1216,1,0,2000.7
39.8507,0.3627,2,1,2648.4
39.9467,0.8109,4,2,4043.0
40.0427,0.2201,1,2,3321.5
40.1493,0.9104,4,3,4886.6
40.2453,0.7361,3,2,3422.5
40.3413,0.7983,4,2,3615.2
40.448,0.2666,2,2,3790.6
40.544,0.8745,4,3,4838.2
40.64,0.6036,3,2,3335.2
40.7467,0.8172,4,2,4006.6
40.8533,0.2684,2,2,4179.3
40.9493,0.8649,4,3,5024.6
41.0453,0.7938,4,2,3465.0
41.1413,0.8521,4,2,3937.4
41.248,0.3052,2,2,3788.0
41.344,0.9094,4,3,4867.7
41.44,0.5978,3,2,3538.2
41.5467,0.818,4,2,4078.8
41.6427,0.2371,1,2,3438.4
41.7493,0.9375,4,3,4927.7
41.8453,0.7801,4,2,3427.7
41.9413,0.8566,4,2,3929.8
42.048,0.2737,2,2,3909.6
42.144,0.9316,4,3,4927.5
42.24,0.6088,3,2,3333.0
42.3467,0.81,4,2,3977.5
42.4533,0.2697,2,2,4145.5
42.5493,0.8706,4,3,5048.4
42.6453,0.8195,4,2,3499.9
42.7413,0.8359,4,2,4081.5
42.848,0.2468,1,3,4638.6
42.944,0.915,4,3,4996.8
43.04,0.6314,3,2,3505.4
43.1467,0.8226,4,2,4109.8
43.2427,0.2321,1,2,3421.3
43.3493,0.951,4,3,4996.5
43.4453,0.7916,4,2,3530.6
43.5413,0.8637,4,2,4021.9
43.648,0.2631,2,2,3846.9
43.744,0.9082,4,3,4875.7
43.84,0.6276,3,2,3353.6
43.9467,0.8104,4,2,4049.4
44.0427,0.2697,2,2,3991.9
44.1493,0.8772,4,3,5013.7
44.2453,0.8062,4,2,3499.9
44.3413,0.8695,4,2,4013.4
44.448,0.2972,2,2,3799.4
44.544,0.9064,4,3,4959.4
44.64,0.5981,3,2,3503.7
44.7467,0.8019,4,2,4013.3
44.8427,0.3121,2,1,3045.2
44.9493,0.9195,4,3,4756.7
45.0453,0.7345,3,2,3373.4
45.1413,0.6919,3,2,3755.1
45.248,0.3838,2,2,3540.5
45.344,0.8117,4,3,4805.5
45.44,0.5588,3,2,3898.7
45.5467,0.3621,2,3,5213.3
45.6427,0.4177,2,3,6743.4
45.7493,0.6483,3,3,5664.9
45.8453,0.6841,3,2,4090.8
45.9413,0.5189,3,3,4395.6
46.048,0.6652,3,2,4297.8
46.144,0.6817,3,3,5534.1
46.2507,0.6208,3,2,4150.2
46.3467,0.7064,3,2,4022.9
46.5493,0.863,4,3,5311.0
46.6453,0.7753,4,2,4160.9
46.7413,0.6427,3,3,4542.9
46.848,0.2606,2,2,4044.7
46.944,0.8974,4,3,4421.1
47.04,0.6308,3,2,3478.6
47.1467,0.7975,4,2,4039.1
47.2533,0.3134,2,2,3959.5
47.3493,0.8631,4,3,5008.9
47.4453,0.9095,4,2,3718.3
47.5413,0.8402,4,2,4008.9
47.744,0.9684,4,3,4509.7
47.84,0.6023,3,2,3706.4
47.9467,0.8206,4,2,4063.7
48.0427,0.2758,2,2,3585.2
48.1493,0.9395,4,3,5078.7
48.2453,0.9162,4,2,3869.1
48.3413,0.852,4,2,4104.4
48.448,0.2697,2,2,4217.4
48.544,0.9453,4,3,4493.9
48.64,0.6098,3,2,3395.7
48.7467,0.8064,4,2,4022.7
48.8533,0.3729,2,2,3831.5
48.9493,0.8852,4,3,4730.9
49.0453,0.8401,4,2,3643.2
49.1413,0.7451,3,2,4346.5
49.248,0.2312,1,3,4478.1
49.344,0.9666,4,3,4851.6
49.4507,0.6164,3,2,4070.8
49.5467,0.794,4,2,4153.4
49.6427,0.3183,2,2,3645.6
49.7493,0.9613,4,3,4972.3
49.8453,0.9415,4,2,3825.9
49.9413,0.8383,4,2,4046.9
50.048,0.2683,2,2,4173.0
50.144,0.9275,4,3,4495.3
50.24,0.6292,3,2,3474.8
50.3467,0.8083,4,2,4044.7
50.4533,0.2874,2,2,3990.6
50.5493,0.8523,4,3,5048.0
50.6453,0.9164,4,2,3777.8
50.7413,0.8194,4,2,4012.8
50.944,0.9712,4,3,4475.0
51.04,0.5916,3,2,3606.2
51.1467,0.8183,4,2,4137.9
51.2427,0.282,2,2,3628.3
51.3493,0.964,4,3,4901.6
51.4453,0.9276,4,2,3889.9
51.5413,0.8404,4,2,4123.7
51.648,0.2932,2,2,4119.0
51.744,0.9641,4,3,4474.6
51.84,0.6089,3,2,3475.4
51.9467,0.8613,4,2,4092.8
52.0427,0.304,2,2,3859.4
52.1493,0.9238,4,3,4807.6
52.2453,0.8351,4,2,3705.6
52.3413,0.8699,4,2,4319.2
52.448,0.2135,1,3,4579.5
52.544,0.8621,4,3,5201.3
52.6507,0.5475,3,3,4469.8
52.7467,0.8027,4,2,4056.7
52.8427,0.2334,1,2,3505.5
52.9493,0.8964,4,3,5036.0
53.0453,0.8534,4,2,3823.4
53.1413,0.7133,3,2,3879.3
53.248,0.2638,2,2,4102.8
53.344,0.8955,4,3,4474.4
53.44,0.6166,3,2,3515.6
53.5467,0.8051,4,2,4013.5
53.6533,0.2798,2,2,4194.4
53.7493,0.9021,4,3,4912.1
53.8453,0.9126,4,2,3713.4
53.9413,0.8248,4,2,4009.2
54.144,0.963,4,3,4537.4
54.24,0.5906,3,2,3681.5
54.3467,0.8153,4,2,4076.7
54.4427,0.3361,2,2,3667.4
54.5493,0.9681,4,3,4882.7
54.6453,0.9193,4,2,3792.4
54.7413,0.8403,4,2,4116.7
54.848,0.2689,2,2,4228.5
54.944,0.8955,4,2,4274.5
55.04,0.5957,3,2,3397.6
55.1467,0.8045,4,2,3954.3
55.2533,0.2894,2,2,4117.6
55.3493,0.866,4,3,4896.0
55.4453,0.8501,4,2,3572.1
55.5413,0.7154,3,2,4128.6
55.648,0.211,1,3,4678.2
55.744,0.9445,4,3,4774.6
55.8507,0.588,3,2,3793.4
55.9467,0.8079,4,2,4125.9
56.0427,0.2735,2,2,3633.1
56.1493,0.9582,4,3,4931.1
56.2453,0.9247,4,2,3747.4
56.3413,0.829,4,2,4031.2
56.448,0.2809,2,2,4138.7
56.544,0.9256,4,3,4486.7
56.64,0.6041,3,2,3446.1
56.7467,0.8194,4,2,4039.2
56.8533,0.3151,2,2,3931.0
56.9493,0.8574,4,3,5080.5
57.0453,0.8806,4,2,3802.5
57.1413,0.836,4,2,4047.9
57.344,0.9529,4,3,4460.1
57.44,0.5537,3,2,3616.0
57.5467,0.7987,4,2,4197.2
57.6427,0.2374,1,3,5029.8
57.7493,0.9985,4,3,5285.9
57.8453,0.9058,4,2,4184.8
57.9413,0.7792,4,2,4181.0
58.144,1.0,4,3,4773.4
58.2507,0.5748,3,2,3968.4
58.3467,0.7186,3,2,4097.6
58.4533,0.311,2,3,4830.8
58.5493,0.8949,4,3,4849.0
58.6453,0.7395,3,2,3789.0
58.7413,0.6841,3,2,4204.3
58.944,0.7513,4,3,5244.9
59.0507,0.4163,2,3,4399.2
59.3493,0.32,2,1,2348.9
59.4453,0.1173,1,1,2283.9
59.744,0.1831,1,0,2031.0
60.1493,0.1443,1,0,1840.1
60.544,0.0876,1,0,2013.4
60.9493,0.0653,1,0,1917.1
61.344,0.0526,1,0,2032.6
62.3467,0.1742,1,0,1130.5
62.4107,0.1164,1,0,997.3
62.752,0.141,1,0,1105.0
62.9547,0.274,2,0,1452.4
63.0613,0.1649,1,0,1408.8
63.3493,0.1522,1,0,1324.5
63.552,0.2906,2,0,1380.3
63.6907,0.1154,1,0,1301.7
63.7547,0.1005,1,0,1361.6
63.9573,0.0898,1,0,1497.3
64.1493,0.1283,1,0,1338.7
64.6507,0.1157,1,0,1254.4
64.9493,0.331,2,0,1555.8
65.0027,0.3125,2,0,1541.8
65.056,0.2939,2,0,1549.8
65.152,0.3616,2,0,1640.0
65.3547,0.3828,2,0,1579.7
65.4507,0.1872,1,0,1475.5
65.5573,0.1881,1,0,1397.1
65.7493,0.1018,1,0,1426.7
65.952,0.1825,1,0,1511.8
66.0587,0.1223,1,0,1488.9
66.1547,0.3363,2,0,1774.5
66.2933,0.1552,1,0,1761.4
66.3573,0.144,1,0,1710.8
66.5493,0.2068,1,0,1635.1
66.752,0.3088,2,0,1645.2
66.8587,0.1578,1,0,1553.8
66.9547,0.1208,1,0,1670.8
67.1573,0.146,1,0,1766.3
67.2533,0.1251,1,0,1602.6
67.3493,0.105,1,0,1789.7
67.552,0.1096,1,0,1666.1
67.648,0.112,1,0,1574.5
67.8507,0.1001,1,0,1598.9
67.9467,0.0877,1,0,1514.7
68.1493,0.3801,2,0,1688.2
68.2027,0.3399,2,0,1717.7
68.256,0.2874,2,0,1681.0
68.352,0.3572,2,0,1786.8
68.5547,0.3189,2,0,1677.5
68.6933,0.1668,1,0,1612.0
68.7573,0.2526,2,0,1605.7
68.9493,0.1345,1,0,1599.1
69.152,0.247,1,0,1766.6
69.3547,0.3895,2,0,1762.8
69.4613,0.2045,1,0,1669.0
69.5573,0.1498,1,0,1786.8
69.6533,0.1372,1,0,1562.4
69.7493,0.2269,1,0,1831.1
69.952,0.4015,2,0,1696.4
70.048,0.1539,1,0,1526.7
70.1547,0.1614,1,0,1753.0
70.3573,0.1356,1,0,1689.8
70.5493,0.1392,1,0,1523.7
70.752,0.0928,1,0,1715.3
71.0507,0.1099,1,0,1350.2
71.1573,0.0921,1,0,1716.7
71.2533,0.1134,1,0,1498.2
71.3493,0.3982,2,0,1686.0
71.4027,0.3489,2,0,1750.4
71.4987,0.3286,2,0,1742.1
71.552,0.4321,2,0,1904.9
71.7547,0.3781,2,0,1782.2
71.8507,0.2213,1,0,1725.7
71.9467,0.2777,2,0,1630.2
72.0533,0.135,1,0,1577.0
72.1493,0.1429,1,0,1654.4
72.352,0.2703,2,0,1946.0
72.5547,0.4252,2,0,2190.5
72.7573,0.1658,1,0,1984.4
72.9493,0.2628,2,0,2029.1
73.152,0.4053,2,0,1776.3
73.248,0.1846,1,0,1642.1
73.3547,0.1606,1,0,2006.4
73.4507,0.1559,1,0,1884.0
73.5573,0.1344,1,1,2259.2
73.6533,0.1337,1,0,1628.9
73.984,0.0995,1,0,1483.8
75.1467,0.4487,2,2,3965.6
75.552,0.4856,2,2,3703.7
75.744,0.194,1,0,2166.3
75.9573,0.371,2,1,2552.9
76.128,0.0837,1,0,1984.7
76.224,0.0897,1,0,2066.6
76.3627,0.1873,1,1,2349.4
76.5547,0.152,1,0,1853.7
76.736,0.0779,1,0,1297.8
76.96,0.1916,1,0,1674.1
77.152,0.3112,2,1,2796.3
77.3547,0.2225,1,1,2653.6
77.5573,0.3393,2,1,2524.1
77.7493,0.1109,1,1,2962.7
77.9627,0.1621,1,3,5897.8
78.3467,0.4844,2,3,4464.2
78.5493,0.1212,1,1,2482.5
78.752,0.071,1,1,2657.9
79.0507,0.0708,1,1,2257.9
79.2533,0.0614,1,1,2523.0
79.456,0.0667,1,1,2518.8
79.552,0.0642,1,1,2422.0
79.7547,0.0796,1,1,2553.6
79.8507,0.0977,1,1,2626.3
79.9467,0.1304,1,2,3919.6
80.0427,0.1412,1,2,4152.5
80.1493,0.1228,1,2,3966.4
80.448,0.1409,1,2,3932.8
80.6507,0.0788,1,2,3575.7
81.1413,0.1671,1,3,4778.4
81.5467,0.566,3,2,4012.8
81.952,0.4873,2,2,3672.5
82.144,0.1933,1,0,2240.7
82.3573,0.3651,2,1,2614.1
82.528,0.0816,1,0,2137.0
82.624,0.0895,1,0,2189.0
82.7627,0.182,1,1,2419.4
82.9547,0.15,1,0,1913.5
83.1467,0.0746,1,0,1416.0
83.36,0.1928,1,0,1738.5
83.552,0.3062,2,1,2802.3
83.7547,0.2259,1,1,2649.3
83.9573,0.3486,2,1,2505.2
84.1493,0.1101,1,1,2967.7
84.3627,0.1661,1,3,5729.7
84.7467,0.468,2,3,4487.6
84.9493,0.1309,1,1,2494.8
85.152,0.0705,1,1,2694.8
85.4507,0.0751,1,1,2328.8
85.5467,0.0984,1,1,2695.6
85.6533,0.1045,1,1,2691.7
85.8453,0.0871,1,1,2849.6
85.952,0.0734,1,2,3337.7
86.1547,0.105,1,2,3698.0
86.2507,0.1175,1,2,4168.1
87.9467,0.5945,3,3,4542.9
88.1493,0.4246,2,1,3006.3
88.2453,0.2792,2,1,3000.0
88.3413,0.1399,1,1,3316.6
88.448,0.1629,1,1,3084.8
88.544,0.1573,1,2,3397.0
88.64,0.156,1,1,3151.7
88.7467,0.2981,2,1,2747.6
88.8427,0.1514,1,1,2861.2
88.9493,0.4426,2,1,3229.1
89.0453,0.2942,2,1,3027.0
89.1413,0.1481,1,2,3524.4
89.248,0.1818,1,1,3239.6
89.344,0.2021,1,2,3382.0
89.4507,0.1401,1,2,3388.6
89.5467,0.3288,2,1,3003.9
89.6427,0.1817,1,1,3144.0
89.7493,0.4654,2,1,3123.2
89.8453,0.2792,2,2,3323.5
89.9413,0.1803,1,2,3640.9
90.048,0.199,1,2,3487.5
90.144,0.171,1,2,3641.0
90.2507,0.1991,1,2,3343.7
90.3467,0.3358,2,2,3423.2
90.4427,0.1829,1,2,3422.1
90.5493,0.569,3,2,3794.1
90.6453,0.3727,2,2,3441.2
90.752,0.4237,2,1,2944.5
90.848,0.2438,1,1,3195.3
90.944,0.2896,2,2,3808.7
91.0507,0.2881,2,1,3158.6
91.1467,0.5209,3,2,4041.5
91.3493,0.4012,2,2,3571.6
91.4453,0.317,2,2,3645.3
91.5413,0.1841,1,2,4191.9
91.648,0.2112,1,2,3977.8
91.744,0.2001,1,2,4231.6
91.84,0.1815,1,3,4418.8
91.9467,0.3203,2,2,3783.3
92.0427,0.2018,1,2,3811.7
92.1493,0.4185,2,2,3731.5
92.2453,0.3278,2,2,3867.2
92.3413,0.2232,1,3,4478.7
92.448,0.2279,1,2,4304.3
92.544,0.2381,1,2,4282.9
92.64,0.2003,1,3,4744.8
92.7467,0.3693,2,2,3981.9
92.8427,0.2468,1,2,3977.1
92.9493,0.4499,2,2,3784.1
93.0453,0.322,2,2,4162.6
93.1413,0.2301,1,3,4537.1
93.248,0.2664,2,2,4241.6
93.344,0.2419,1,3,4548.3
93.4507,0.215,1,2,4281.9
93.5467,0.3134,2,2,4196.4
93.6427,0.2331,1,2,4197.0
93.7493,0.4199,2,2,3979.7
93.8453,0.3395,2,2,4251.9
93.9413,0.2388,1,3,4812.6
94.048,0.2711,2,2,4354.1
94.144,0.2385,1,3,4833.5
94.24,0.2325,1,3,4945.8
94.3467,0.5191,3,3,4531.5
94.4427,0.2426,1,3,4495.0
94.5493,0.2363,1,3,4772.3
94.6453,0.2898,2,3,4610.3
94.7413,0.2499,1,3,4450.1
94.848,0.2776,2,3,4761.3
94.9333,0.2519,2,2,4156.7
95.0507,0.2282,1,3,4731.7
95.1467,0.2733,2,3,5020.9
95.2427,0.277,2,3,4865.6
95.3493,0.2442,1,3,5027.4
95.4453,0.2279,1,3,5002.8
95.5413,0.2236,1,3,5340.1
95.6373,0.3078,2,3,4598.3
95.744,0.2606,2,3,5014.8
95.84,0.3067,2,3,4842.9
95.9467,0.2943,2,3,4959.0
96.0427,0.3046,2,3,4509.7
96.1493,0.2587,2,3,5118.0
96.2453,0.2955,2,3,4963.0
96.3413,0.2832,2,3,5088.0
96.448,0.2914,2,3,4992.4
96.544,0.3602,2,3,5054.7
96.6507,0.2729,2,3,5018.9
96.7467,0.3051,2,3,4890.5
96.8427,0.3151,2,3,5283.1
96.9493,0.2531,2,3,5530.9
97.0453,0.307,2,3,5131.7
97.1413,0.2644,2,3,5068.8
97.248,0.3751,2,3,5090.7
97.344,0.3206,2,3,5295.1
97.4507,0.2435,1,3,5468.8
97.5467,0.3259,2,3,5571.3
97.6427,0.2767,2,3,5355.7
97.696,0.2876,2,3,5575.5
97.792,0.2423,1,3,5579.5
97.8453,0.256,2,3,5261.4
97.8987,0.2724,2,3,5543.3
97.9947,0.2755,2,3,5478.2
98.048,0.242,1,3,5404.3
98.144,0.2734,2,3,5243.3
98.1973,0.2628,2,3,5439.7
98.2933,0.2588,2,3,5910.3
98.3467,0.2477,1,3,5537.6
98.4,0.2697,2,3,5659.8
98.496,0.2814,2,3,5576.9
98.592,0.2377,1,3,5531.8
